"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","394","4-下架质检规则","","Sat Aug 30 09:00:13 CST 2025","passed","Sat Aug 30 09:00:13 CST 2025","","JMeter Tests","JMeter","4-下架质检规则"
"","280","3-获取质检规则列表","","Sat Aug 30 09:00:12 CST 2025","passed","Sat Aug 30 09:00:13 CST 2025","","JMeter Tests","JMeter","3-获取质检规则列表"
"","524","2-客户列表接口","","Sat Aug 30 09:00:12 CST 2025","passed","Sat Aug 30 09:00:12 CST 2025","","JMeter Tests","JMeter","2-客户列表接口"
"","1766","1-登录接口获取Token","","Sat Aug 30 09:00:10 CST 2025","passed","Sat Aug 30 09:00:12 CST 2025","","JMeter Tests","JMeter","1-登录接口获取Token"
